U,sigma_U,TI
13.7649,0.625614,0.04544994878277357
13.6506,0.609091,0.0446200899594157
14.0582,0.782649,0.055672063279794
14.2567,0.7479,0.05245954533657859
14.2684,0.691753,0.04848146954108379
14.5704,0.65409,0.04489169823752265
14.4751,0.720106,0.049747911931523794
14.5904,0.894327,0.06129557791424498
15.129,0.742537,0.049080375437900725
14.3931,0.814591,0.056595938331561645
14.586,0.817351,0.05603667900726725
14.2233,0.795936,0.05596000928054671
13.6568,1.03223,0.07558359205670435
14.2923,0.925595,0.0647617948125914
13.889,0.832203,0.059918136654906765
12.4242,0.370893,0.029852465349881677
12.6005,0.509339,0.0404221261061069
13.1254,0.598835,0.045624133359745224
13.8748,0.776101,0.05593601349208637
13.7284,0.940364,0.06849771277060691
13.7771,0.901696,0.06544889708284037
14.4487,1.0276,0.07112058524296304
14.811,0.819795,0.055350415231922225
14.2942,0.93478,0.0653957549215766
13.8085,0.962494,0.06970300901618567
13.4729,0.706251,0.052420117420896764
12.7771,0.881248,0.06897089323868483
11.6674,0.568456,0.04872173749078629
12.412,0.801857,0.06460336770866903
12.7578,0.66496,0.05212183918857483
12.956,0.680118,0.05249444272923742
12.5925,0.528057,0.04193424657534247
13.1898,0.58164,0.04409771186826184
13.3835,0.664469,0.04964837299660029
13.5343,0.504991,0.037311940772703424
12.9628,0.493819,0.038095087481099764
12.7986,0.474904,0.03710593346147235
12.9206,0.403955,0.031264414965249294
13.0412,0.328154,0.025162868447688863
12.896,0.207923,0.01612306141439206
13.0251,0.489048,0.03754658313563811
13.9067,0.649218,0.04668382865812881
13.0982,0.632991,0.04832656395535264
12.2728,0.646788,0.05270093214262434
11.6012,0.330549,0.028492655932144947
11.6903,0.389611,0.03332771614073206
11.9184,0.362929,0.030451151161229695
12.1434,0.429853,0.035398076321293874
11.7758,0.411575,0.03495091628594236
11.3552,0.453801,0.03996415739044667
11.2137,0.391535,0.03491577267092932
11.4018,0.450493,0.03951069129435703
11.5441,0.444391,0.0384950754064847
11.5506,0.503336,0.043576610738836084
11.922,0.399841,0.03353808085891629
11.3622,0.74417,0.06549523859815881
10.7283,0.823926,0.07679930650708873
11.7441,0.408788,0.03480794611762502
11.3987,0.455475,0.03995850403993438
10.3604,0.665377,0.06422309949422803
11.0487,0.549405,0.049725759591626166
11.5993,0.568551,0.04901597510194581
12.1067,0.498882,0.04120710020071531
13.01,0.460574,0.03540153727901614
13.338,0.450362,0.033765332133753184
13.6157,0.655551,0.04814669829681911
13.8344,0.604181,0.04367236743190886
13.9935,0.601048,0.042951941973058926
13.4458,0.614962,0.045736363771586665
13.8361,0.674011,0.04871394395819632
13.829,0.927262,0.06705199219032468
14.2466,0.838822,0.05887875001754804
14.0366,0.827177,0.05893001154125643
13.567,0.818382,0.06032151544188104
14.568,0.575646,0.039514415156507415
14.1765,0.516011,0.03639904066589073
13.6255,0.497876,0.03654001688011449
13.8652,0.583831,0.04210765080922021
13.8698,0.73565,0.053039697760602175
13.8281,0.726332,0.05252579891669861
13.5256,0.739135,0.05464711362157686
13.771,0.591272,0.0429360249800305
14.6418,0.857889,0.05859177150350367
15.1819,0.509705,0.03357320230010736
14.6798,0.429213,0.02923834112181365
14.5911,0.748996,0.05133238755131553
13.0318,0.77769,0.05967633020764591
11.0621,0.342804,0.030989052711510475
11.0555,0.615811,0.055701777395866306
10.8768,0.739872,0.06802294792586056
12.4583,0.855601,0.06867718709615277
13.7315,0.578128,0.04210231948439719
14.3687,0.721343,0.05020238434931482
12.8936,0.705476,0.05471520754482844
12.8891,0.550675,0.04272408469171626
10.7629,0.799756,0.0743067388900761
10.2537,0.994588,0.09699796171138224
11.3363,0.82005,0.07233841729664882
11.9897,0.677343,0.05649374046056199
12.6565,0.749862,0.05924718524078537
12.3328,0.718996,0.05829949403217436
11.9961,0.648164,0.05403122681538166
11.9716,0.73862,0.06169768452003074
12.7875,0.86842,0.06791163245356793
13.3028,0.630994,0.0474331719637971
13.2736,1.00737,0.07589274951783993
12.9111,0.839807,0.06504534857603148
13.4101,0.709242,0.05288864363427566
12.8924,0.911704,0.0707163910520927
12.6309,0.775156,0.061369815294238725
12.4747,0.986968,0.0791175739697147
12.6349,0.84035,0.06651022168754799
12.1014,0.830959,0.068666352653412
12.036,0.791009,0.06572025589896975
11.8117,0.735555,0.06227342380859656
11.9561,0.645522,0.053991017137695406
11.0603,0.556048,0.05027422402647306
10.7203,1.23099,0.11482794324785688
10.3049,1.32605,0.1286815010334889
11.4025,0.689968,0.06051023898267924
10.9845,0.86146,0.07842505348445536
11.2075,0.80289,0.07163863484273925
11.8497,0.763203,0.06440694701131673
12.2575,0.715825,0.058398939424841936
12.4139,0.771015,0.06210900683910778
12.8442,0.702114,0.05466389498762087
12.5506,0.686172,0.05467244593883958
13.1158,1.04113,0.07937983195840133
13.775,0.716639,0.05202460980036298
13.3785,0.719097,0.05375019621033748
12.8682,0.575465,0.044719929749304485
12.6487,0.70692,0.0558887474602133
12.321,0.748693,0.060765603441279126
13.0345,0.897085,0.06882389044458936
13.4103,0.563464,0.042017255393242504
13.0451,0.602667,0.04619872595840584
12.8622,0.548925,0.042677380230442694
11.9155,0.845638,0.07096957744114808
11.8687,0.844352,0.07114106852477524
12.082,0.663233,0.05489430557854659
12.974,0.55774,0.04298905503314321
13.2203,0.519395,0.03928768636112645
13.4311,0.571244,0.0425314382291845
13.7048,0.636043,0.046410235829782265
13.039,0.61691,0.04731267735255771
11.5766,0.385831,0.03332852478275141
11.0042,0.456706,0.041502880718271205
9.98142,0.687843,0.06891233912609629
11.4139,0.54848,0.0480536889231551
12.1909,0.522437,0.042854670286853316
13.0307,0.502295,0.038547046589975986
13.2669,0.460618,0.034719339107101135
13.2407,0.515817,0.038956928259079954
13.3251,0.517345,0.03882484934447021
12.9799,0.446891,0.03442946401744235
11.9233,0.609669,0.05113257235832362
11.4408,0.437063,0.038202136214250754
11.8533,0.494018,0.04167767625893211
12.0727,0.482179,0.039939615827445395
11.7386,0.378438,0.03223876782580546
11.6118,0.473997,0.04082028626052808
11.4432,0.583084,0.05095462807606265
11.9834,0.590334,0.04926264666121469
12.4436,0.699397,0.05620535857790351
11.4382,0.669862,0.05856358517948628
12.0701,0.788971,0.06536573847772595
13.0352,1.37176,0.10523505584877871
